as_of_date,game_pk,home_team,home_combined_rating,away_team,away_combined_rating,elo_diff,home_win_prob
2026-08-10,822780,Toronto Blue Jays,1499.7,Boston Red Sox,1573.4,-73.7,42.8
2026-08-10,823018,St. Louis Cardinals,1499.2,Philadelphia Phillies,1526.4,-27.2,49.0
2026-08-10,823189,San Francisco Giants,1470.7,Houston Astros,1507.2,-36.5,49.7
2026-08-10,823265,San Diego Padres,1519.0,Milwaukee Brewers,1569.6,-50.6,46.4
2026-08-10,823675,Minnesota Twins,1485.0,Baltimore Orioles,1519.0,-34.0,49.0
2026-08-10,823918,Los Angeles Dodgers,1540.7,Kansas City Royals,1461.9,78.8,67.0
2026-08-10,823998,Los Angeles Angels,1444.9,Texas Rangers,1500.1,-55.2,44.3
2026-08-10,824887,Atlanta Braves,1552.7,New York Mets,1499.7,53.0,60.4
2026-08-10,824969,Athletics,1432.8,Tampa Bay Rays,1540.8,-108.0,37.6
2026-08-10,825048,Arizona Diamondbacks,1524.3,Colorado Rockies,1433.2,91.1,64.9
