as_of_date,rank,pitcher,rating
2026-09-15,1,Max Fried,1637.0
2026-09-15,2,Zack Wheeler,1636.0
2026-09-15,3,Chris Sale,1624.7
2026-09-15,4,Logan Gilbert,1611.9
2026-09-15,5,Tarik Skubal,1611.9
2026-09-15,6,Gerrit Cole,1600.3
2026-09-15,7,Blake Snell,1590.5
2026-09-15,8,Jacob deGrom,1584.4
2026-09-15,9,Yoshinobu Yamamoto,1583.6
2026-09-15,10,Sonny Gray,1580.3
2026-09-15,11,Cristopher Sánchez,1580.3
2026-09-15,12,Logan Webb,1579.7
2026-09-15,13,Dylan Cease,1577.9
2026-09-15,14,Tyler Glasnow,1577.6
2026-09-15,15,Shane Bieber,1576.5
2026-09-15,16,Corbin Burnes,1572.1
2026-09-15,17,Carlos Rodón,1571.3
2026-09-15,18,Framber Valdez,1571.1
2026-09-15,19,Kevin Gausman,1569.6
2026-09-15,20,Drew Rasmussen,1569.1
2026-09-15,21,Shota Imanaga,1568.2
2026-09-15,22,Shane McClanahan,1567.6
2026-09-15,23,Tanner Bibee,1566.4
2026-09-15,24,Freddy Peralta,1566.1
2026-09-15,25,Garrett Crochet,1564.4
2026-09-15,26,Ranger Suarez,1563.5
2026-09-15,27,Clayton Kershaw,1561.9
2026-09-15,28,Paul Skenes,1561.2
2026-09-15,29,Michael Wacha,1561.0
2026-09-15,30,Robbie Ray,1559.9
2026-09-15,31,Kyle Bradish,1559.3
2026-09-15,32,Nathan Eovaldi,1558.9
2026-09-15,33,Brandon Woodruff,1557.1
2026-09-15,34,Nick Martinez,1555.9
2026-09-15,35,George Kirby,1554.5
2026-09-15,36,Joe Musgrove,1553.7
2026-09-15,37,José Berríos,1553.0
2026-09-15,38,Sandy Alcantara,1552.6
2026-09-15,39,Shohei Ohtani,1552.3
2026-09-15,40,Jameson Taillon,1551.2
2026-09-15,41,Jacob Misiorowski,1549.5
2026-09-15,42,Yu Darvish,1547.7
2026-09-15,43,Merrill Kelly,1546.9
2026-09-15,44,Bryan Woo,1545.5
2026-09-15,45,Walker Buehler,1545.0
2026-09-15,46,Jesús Luzardo,1544.9
2026-09-15,47,Nick Pivetta,1544.3
2026-09-15,48,Cam Schlittler,1543.0
2026-09-15,49,Michael King,1542.6
2026-09-15,50,Hunter Brown,1542.2
2026-09-15,51,Shane Baz,1540.2
2026-09-15,52,Alek Manoah,1539.8
2026-09-15,53,Julio Urías,1539.3
2026-09-15,54,Gavin Williams,1539.0
2026-09-15,55,Max Scherzer,1538.1
2026-09-15,56,Parker Messick,1537.2
2026-09-15,57,Keider Montero,1536.6
2026-09-15,58,Clarke Schmidt,1534.9
2026-09-15,59,Jose Quintana,1534.7
2026-09-15,60,Randy Vásquez,1533.9
2026-09-15,61,Logan Henderson,1533.8
2026-09-15,62,Andrew Abbott,1533.7
2026-09-15,63,Reynaldo López,1533.1
2026-09-15,64,Justin Verlander,1532.0
2026-09-15,65,Luis Garcia,1530.8
2026-09-15,66,Clay Holmes,1530.1
2026-09-15,67,Spencer Schwellenbach,1530.1
2026-09-15,68,Martín Pérez,1529.9
2026-09-15,69,Kodai Senga,1529.8
2026-09-15,70,Javier Assad,1528.9
2026-09-15,71,Eduardo Rodriguez,1528.3
2026-09-15,72,Hunter Greene,1526.7
2026-09-15,73,Triston McKenzie,1526.7
2026-09-15,74,Andre Pallante,1526.6
2026-09-15,75,Grant Holmes,1526.2
2026-09-15,76,Connelly Early,1526.2
2026-09-15,77,Troy Melton,1525.9
2026-09-15,78,Chase Burns,1525.6
2026-09-15,79,Ronel Blanco,1525.4
2026-09-15,80,Wade Miley,1525.2
2026-09-15,81,Joey Cantillo,1524.8
2026-09-15,82,Tony Gonsolin,1524.6
2026-09-15,83,Nolan McLean,1524.3
2026-09-15,84,Luis Castillo,1524.1
2026-09-15,85,Marcus Stroman,1523.5
2026-09-15,86,Walbert Ureña,1523.0
2026-09-15,87,Spencer Strider,1522.3
2026-09-15,88,Ben Lively,1522.3
2026-09-15,89,Braxton Ashcraft,1521.9
2026-09-15,90,Lake Bachar,1521.7
2026-09-15,91,Tyler Mahle,1521.5
2026-09-15,92,Nestor Cortes,1521.3
2026-09-15,93,Chad Patrick,1520.5
2026-09-15,94,Luis Gil,1520.5
2026-09-15,95,Chris Bassitt,1520.1
2026-09-15,96,Trevor Bauer,1520.0
2026-09-15,97,Cole Irvin,1519.8
2026-09-15,98,Ben Brown,1519.3
2026-09-15,99,Matthew Boyd,1519.2
2026-09-15,100,Braydon Fisher,1518.9
2026-09-15,101,Brent Suter,1518.8
2026-09-15,102,Ryan Pepiot,1518.2
2026-09-15,103,Mike Clevinger,1518.2
2026-09-15,104,Cade Horton,1518.1
2026-09-15,105,Alex Cobb,1517.6
2026-09-15,106,Tomoyuki Sugano,1517.3
2026-09-15,107,Bryce Elder,1517.1
2026-09-15,108,Landen Roupp,1517.0
2026-09-15,109,Cooper Criswell,1516.6
2026-09-15,110,Kwang Hyun Kim,1515.9
2026-09-15,111,Quinn Priester,1515.7
2026-09-15,112,Tyler Wells,1515.7
2026-09-15,113,Stephen Kolek,1515.6
2026-09-15,114,Payton Tolle,1515.4
2026-09-15,115,J.T. Ginn,1515.3
2026-09-15,116,Beau Brieske,1515.3
2026-09-15,117,Sean Burke,1515.2
2026-09-15,118,Zac Gallen,1515.0
2026-09-15,119,José Urquidy,1514.7
2026-09-15,120,Christian Scott,1514.5
2026-09-15,121,Adam Wainwright,1514.4
2026-09-15,122,Adrian Houser,1514.3
2026-09-15,123,Cole Ragans,1514.0
2026-09-15,124,Domingo Germán,1513.8
2026-09-15,125,Zach Eflin,1513.8
2026-09-15,126,Randy Dobnak,1513.6
2026-09-15,127,Dustin May,1513.4
2026-09-15,128,Anthony Kay,1513.3
2026-09-15,129,Casey Mize,1512.8
2026-09-15,130,Nick Lodolo,1512.7
2026-09-15,131,Ryan Johnson,1512.6
2026-09-15,132,Tylor Megill,1512.1
2026-09-15,133,Kyle Leahy,1511.7
2026-09-15,134,Jacob Latz,1511.5
2026-09-15,135,Pablo López,1511.3
2026-09-15,136,Bubba Chandler,1511.3
2026-09-15,137,Braxton Garrett,1510.9
2026-09-15,138,Jared Koenig,1510.6
2026-09-15,139,Anthony DeSclafani,1510.5
2026-09-15,140,Jalen Beeks,1510.3
2026-09-15,141,Justin Steele,1510.2
2026-09-15,142,Bowden Francis,1510.2
2026-09-15,143,Casey Legumina,1509.9
2026-09-15,144,Bryan Hudson,1509.7
2026-09-15,145,Jake Bennett,1509.5
2026-09-15,146,Tyler Alexander,1509.2
2026-09-15,147,Adrian Sampson,1509.2
2026-09-15,148,Bradgley Rodriguez,1509.0
2026-09-15,149,Reese Olson,1508.7
2026-09-15,150,Will Klein,1508.7
2026-09-15,151,Lance Lynn,1508.5
2026-09-15,152,Ryan Burr,1508.3
2026-09-15,153,Louis Varland,1508.3
2026-09-15,154,Joe Ryan,1508.2
2026-09-15,155,Mick Abel,1508.0
2026-09-15,156,Trey Yesavage,1507.9
2026-09-15,157,Caleb Ferguson,1507.8
2026-09-15,158,Grant Taylor,1507.8
2026-09-15,159,Frankie Montas,1507.6
2026-09-15,160,Gavin Stone,1507.6
2026-09-15,161,River Ryan,1507.4
2026-09-15,162,Marco Gonzales,1507.4
2026-09-15,163,Kyle Wright,1507.3
2026-09-15,164,Zac Thornton,1507.3
2026-09-15,165,Mason Montgomery,1507.3
2026-09-15,166,José Buttó,1507.2
2026-09-15,167,Sam Long,1507.1
2026-09-15,168,Ryan Bergert,1506.9
2026-09-15,169,Brusdar Graterol,1506.9
2026-09-15,170,Huascar Brazobán,1506.8
2026-09-15,171,Landon Knack,1506.8
2026-09-15,172,Carmen Mlodzinski,1506.8
2026-09-15,173,Brandon Hughes,1506.7
2026-09-15,174,John Means,1506.5
2026-09-15,175,Danny Duffy,1506.3
2026-09-15,176,Kyle Harrison,1506.3
2026-09-15,177,Kenny Rosenberg,1506.1
2026-09-15,178,Mason Fluharty,1506.1
2026-09-15,179,Josiah Gray,1506.0
2026-09-15,180,Collin McHugh,1505.9
2026-09-15,181,Jimmy Lambert,1505.8
2026-09-15,182,Luis Morales,1505.7
2026-09-15,183,Jackson Jobe,1505.7
2026-09-15,184,Corey Knebel,1505.6
2026-09-15,185,Cody Poteet,1505.6
2026-09-15,186,Brenan Hanifee,1505.6
2026-09-15,187,Wandy Peralta,1505.6
2026-09-15,188,Kolby Allard,1505.5
2026-09-15,189,Cole Sulser,1505.4
2026-09-15,190,Jesus Tinoco,1505.3
2026-09-15,191,Zach Agnos,1505.2
2026-09-15,192,Drey Jameson,1505.2
2026-09-15,193,Johnny Cueto,1505.1
2026-09-15,194,Ryan Yarbrough,1505.1
2026-09-15,195,Brant Hurter,1505.0
2026-09-15,196,Taylor Clarke,1504.9
2026-09-15,197,Eduardo Rivera,1504.8
2026-09-15,198,Devin Smeltzer,1504.8
2026-09-15,199,Jordan Montgomery,1504.6
2026-09-15,200,Robert Gasser,1504.6
2026-09-15,201,A.J. Alexy,1504.6
2026-09-15,202,Brandon Eisert,1504.5
2026-09-15,203,Ryan Borucki,1504.4
2026-09-15,204,Hyun Jin Ryu,1504.4
2026-09-15,205,Trevor McDonald,1504.4
2026-09-15,206,Sixto Sánchez,1504.4
2026-09-15,207,Josh Winder,1504.2
2026-09-15,208,Steven Brault,1504.1
2026-09-15,209,John Schreiber,1503.9
2026-09-15,210,Hunter Dobbins,1503.8
2026-09-15,211,Luis Diaz,1503.8
2026-09-15,212,Brandon Young,1503.8
2026-09-15,213,Justin Wrobleski,1503.7
2026-09-15,214,Jakob Junis,1503.7
2026-09-15,215,Adrian Morejon,1503.6
2026-09-15,216,Jovani Morán,1503.6
2026-09-15,217,Quinn Mathews,1503.6
2026-09-15,218,Hunter Bigge,1503.6
2026-09-15,219,Brandon Sproat,1503.5
2026-09-15,220,Victor González,1503.5
2026-09-15,221,Bryan Garcia,1503.4
2026-09-15,222,Luke Farrell,1503.4
2026-09-15,223,Drew Smyly,1503.4
2026-09-15,224,Carson Whisenhunt,1503.4
2026-09-15,225,Chris Ellis,1503.4
2026-09-15,226,Josh Winckowski,1503.3
2026-09-15,227,Cody Morris,1503.2
2026-09-15,228,Brett Kennedy,1503.2
2026-09-15,229,Matt Peacock,1503.2
2026-09-15,230,George Klassen,1503.2
2026-09-15,231,Charlie Barnes,1503.2
2026-09-15,232,Michael Pineda,1503.1
2026-09-15,233,Kris Bubic,1503.1
2026-09-15,234,Ryan Rolison,1503.1
2026-09-15,235,Matt Gage,1503.1
2026-09-15,236,J.P. Feyereisen,1503.1
2026-09-15,237,Josh Staumont,1503.1
2026-09-15,238,Easton McGee,1503.1
2026-09-15,239,Miguel Díaz,1503.1
2026-09-15,240,Ryan Weathers,1503.0
2026-09-15,241,Yunior Marte,1503.0
2026-09-15,242,Tyler Phillips,1502.9
2026-09-15,243,Jonathan Loáisiga,1502.9
2026-09-15,244,Shelby Miller,1502.9
2026-09-15,245,Chris Murphy,1502.8
2026-09-15,246,Drew Anderson,1502.8
2026-09-15,247,Scott Alexander,1502.8
2026-09-15,248,Garrett Hill,1502.8
2026-09-15,249,Kohl Stewart,1502.7
2026-09-15,250,Jimmy Herget,1502.7
