as_of_date,rank,pitcher,rating
2026-09-09,1,Max Fried,1633.7
2026-09-09,2,Zack Wheeler,1633.6
2026-09-09,3,Chris Sale,1624.5
2026-09-09,4,Tarik Skubal,1609.3
2026-09-09,5,Logan Gilbert,1607.8
2026-09-09,6,Gerrit Cole,1607.1
2026-09-09,7,Blake Snell,1588.3
2026-09-09,8,Cristopher Sánchez,1582.9
2026-09-09,9,Logan Webb,1580.4
2026-09-09,10,Jacob deGrom,1579.7
2026-09-09,11,Sonny Gray,1579.5
2026-09-09,12,Tyler Glasnow,1577.3
2026-09-09,13,Yoshinobu Yamamoto,1577.3
2026-09-09,14,Shane Bieber,1576.5
2026-09-09,15,Dylan Cease,1574.5
2026-09-09,16,Corbin Burnes,1574.4
2026-09-09,17,Kevin Gausman,1572.1
2026-09-09,18,Carlos Rodón,1570.7
2026-09-09,19,Framber Valdez,1570.4
2026-09-09,20,Shane McClanahan,1567.6
2026-09-09,21,Drew Rasmussen,1565.7
2026-09-09,22,Freddy Peralta,1565.6
2026-09-09,23,Shota Imanaga,1565.4
2026-09-09,24,Tanner Bibee,1564.7
2026-09-09,25,Garrett Crochet,1564.4
2026-09-09,26,Clayton Kershaw,1561.9
2026-09-09,27,Robbie Ray,1561.6
2026-09-09,28,Kyle Bradish,1561.5
2026-09-09,29,Ranger Suarez,1560.7
2026-09-09,30,Paul Skenes,1559.7
2026-09-09,31,Nathan Eovaldi,1558.9
2026-09-09,32,George Kirby,1557.3
2026-09-09,33,Brandon Woodruff,1557.1
2026-09-09,34,Michael Wacha,1556.9
2026-09-09,35,Sandy Alcantara,1555.3
2026-09-09,36,Nick Martinez,1553.9
2026-09-09,37,Joe Musgrove,1553.7
2026-09-09,38,José Berríos,1553.0
2026-09-09,39,Shohei Ohtani,1552.3
2026-09-09,40,Jameson Taillon,1551.2
2026-09-09,41,Hunter Brown,1548.7
2026-09-09,42,Yu Darvish,1547.7
2026-09-09,43,Andrew Abbott,1546.1
2026-09-09,44,Nick Pivetta,1545.2
2026-09-09,45,Michael King,1545.2
2026-09-09,46,Jacob Misiorowski,1545.1
2026-09-09,47,Jesús Luzardo,1544.9
2026-09-09,48,Merrill Kelly,1544.0
2026-09-09,49,Bryan Woo,1543.6
2026-09-09,50,Walker Buehler,1542.7
2026-09-09,51,Gavin Williams,1541.3
2026-09-09,52,Reynaldo López,1540.9
2026-09-09,53,Shane Baz,1540.5
2026-09-09,54,Max Scherzer,1540.2
2026-09-09,55,Alek Manoah,1539.8
2026-09-09,56,Julio Urías,1539.3
2026-09-09,57,Logan Henderson,1539.3
2026-09-09,58,Cam Schlittler,1538.5
2026-09-09,59,Keider Montero,1536.6
2026-09-09,60,Parker Messick,1535.4
2026-09-09,61,Clarke Schmidt,1534.9
2026-09-09,62,Jose Quintana,1534.7
2026-09-09,63,Randy Vásquez,1533.9
2026-09-09,64,Justin Verlander,1532.0
2026-09-09,65,Eduardo Rodriguez,1530.9
2026-09-09,66,Luis Garcia,1530.8
2026-09-09,67,Spencer Schwellenbach,1530.1
2026-09-09,68,Grant Holmes,1529.8
2026-09-09,69,Kodai Senga,1529.8
2026-09-09,70,Javier Assad,1528.9
2026-09-09,71,Clay Holmes,1528.4
2026-09-09,72,Andre Pallante,1527.5
2026-09-09,73,Hunter Greene,1526.7
2026-09-09,74,Triston McKenzie,1526.7
2026-09-09,75,Connelly Early,1526.2
2026-09-09,76,Troy Melton,1526.1
2026-09-09,77,Ronel Blanco,1525.4
2026-09-09,78,Tomoyuki Sugano,1525.3
2026-09-09,79,Wade Miley,1525.2
2026-09-09,80,Nolan McLean,1524.8
2026-09-09,81,Joey Cantillo,1524.8
2026-09-09,82,Walbert Ureña,1524.8
2026-09-09,83,Tony Gonsolin,1524.6
2026-09-09,84,Luis Castillo,1524.1
2026-09-09,85,Marcus Stroman,1523.5
2026-09-09,86,Spencer Strider,1522.3
2026-09-09,87,Ben Lively,1522.3
2026-09-09,88,Chase Burns,1522.2
2026-09-09,89,Braxton Ashcraft,1521.9
2026-09-09,90,Nestor Cortes,1521.3
2026-09-09,91,Martín Pérez,1520.8
2026-09-09,92,Luis Gil,1520.5
2026-09-09,93,Chad Patrick,1520.5
2026-09-09,94,Trevor Bauer,1520.0
2026-09-09,95,Cole Irvin,1519.8
2026-09-09,96,Zac Gallen,1519.6
2026-09-09,97,Chris Bassitt,1519.4
2026-09-09,98,Ben Brown,1519.3
2026-09-09,99,Brent Suter,1518.8
2026-09-09,100,Tyler Mahle,1518.6
2026-09-09,101,Matthew Boyd,1518.4
2026-09-09,102,Mike Clevinger,1518.2
2026-09-09,103,Ryan Pepiot,1518.2
2026-09-09,104,Cade Horton,1518.1
2026-09-09,105,Alex Cobb,1517.6
2026-09-09,106,Lake Bachar,1517.4
2026-09-09,107,Bryce Elder,1517.1
2026-09-09,108,Casey Mize,1517.0
2026-09-09,109,Cooper Criswell,1516.6
2026-09-09,110,Kwang Hyun Kim,1515.9
2026-09-09,111,Tyler Wells,1515.7
2026-09-09,112,Quinn Priester,1515.7
2026-09-09,113,Anthony Kay,1515.7
2026-09-09,114,Stephen Kolek,1515.6
2026-09-09,115,J.T. Ginn,1515.3
